id_transacao;id_colaborador;id_beneficio;valor;data;local
1;130;1;15.26;2025-04-21;Costela
2;47;6;447.39;2025-07-29;Vargas S/A
3;111;2;268.69;2025-03-22;Sá
4;60;1;179.87;2025-07-07;Duarte Camargo S/A
5;67;4;78.93;2025-04-10;Pinto
6;34;1;433.25;2025-05-17;Garcia
7;23;6;45.44;2025-06-23;Gonçalves
8;33;6;135.58;2025-03-26;Cirino
9;98;5;61.36;2025-03-09;Silva - ME
10;59;6;479.82;2025-03-20;Casa Grande
11;167;1;103.05;2025-06-22;Rezende
12;31;5;11.09;2025-06-13;Oliveira
13;37;4;191.83;2025-07-09;Santos
14;200;1;97.96;2025-05-04;Monteiro S.A.
15;11;4;365.82;2025-05-23;Camargo
16;185;1;213.3;2025-05-12;Machado Azevedo Ltda.
17;88;3;449.67;2025-04-29;Machado - ME
18;95;1;146.31;2025-03-25;Sales - EI
19;193;4;388.17;2025-04-14;Cavalcanti Aragão - EI
20;123;3;146.68;2025-05-28;Souza
21;98;2;215.43;2025-04-05;Melo Albuquerque - EI
22;174;1;154.34;2025-03-16;Vieira - EI
23;196;6;441.41;2025-05-16;Sá
24;86;4;447.92;2025-05-17;Farias Pires - ME
25;190;6;59.88;2025-07-15;Novais
26;138;3;48.78;2025-04-30;Cirino
27;111;5;172.64;2025-07-09;Farias
28;34;6;362.42;2025-03-28;Vasconcelos - ME
29;105;6;74.05;2025-08-08;Vieira Melo S.A.
30;61;5;385.32;2025-05-22;Caldeira
31;120;6;156.48;2025-03-04;Moreira Araújo S/A
32;51;1;259.42;2025-06-03;Machado
33;179;4;413.18;2025-03-21;da Paz
34;22;3;298.81;2025-05-14;Pastor Pires - EI
35;31;1;73.67;2025-07-07;Guerra Vargas e Filhos
36;165;2;425.92;2025-05-06;Pacheco
37;99;1;316.72;2025-03-30;Freitas
38;40;3;230.58;2025-06-26;Ramos - ME
39;8;4;238.32;2025-08-16;da Rocha
40;110;3;139.02;2025-05-28;Castro Ltda.
41;169;3;148.27;2025-05-07;Aragão S/A
42;19;4;31.54;2025-07-26;Nogueira e Filhos
43;41;3;207.66;2025-04-19;Monteiro
44;157;6;204.96;2025-06-09;Fernandes Teixeira S.A.
